Customer_ID,Date,Category,Purchase_Amount,Payment_Method,Rating
CUST-081,2026-03-22,Home & Kitchen,214.82,Debit Card,5.0
CUST-082,2026-03-23,Books,119.22,PayPal,3.0
CUST-083,2026-03-24,Electronics,69.17,Debit Card,4.0
CUST-084,2026-03-25,Books,175.76,Credit Card,2.0
CUST-085,2026-03-26,Home & Kitchen,472.04,Credit Card,4.0
CUST-086,2026-03-27,Home & Kitchen,168.7,Debit Card,1.0
CUST-087,2026-03-28,Clothing,264.44,Apple Pay,4.0
CUST-088,2026-03-29,Electronics,354.62,Apple Pay,4.0
CUST-089,2026-03-30,Books,188.49,Credit Card,3.0
CUST-090,2026-03-31,Clothing,486.18,Credit Card,4.0
CUST-091,2026-04-01,Books,481.61,Apple Pay,
CUST-092,2026-04-02,Books,133.74,Apple Pay,1.0
CUST-093,2026-04-03,Clothing,253.9,Debit Card,5.0
CUST-094,2026-04-04,Clothing,157.78,Debit Card,4.0
CUST-095,2026-04-05,Clothing,149.93,Apple Pay,2.0
CUST-096,2026-04-06,Clothing,28.56,Debit Card,4.0
CUST-097,2026-04-07,Clothing,308.88,Debit Card,5.0
CUST-098,2026-04-08,Books,256.56,PayPal,3.0
CUST-099,2026-04-09,Clothing,35.7,Debit Card,4.0
CUST-100,2026-04-10,Electronics,146.89,Credit Card,2.0
